id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4666089,Condo in Zürich · 1 bedroom · 1 bed · 1 shared bath,2598633,Antonio,Kreis 5,Gewerbeschule,47.38573,8.52743,Private room,190,1,0,,,1,87,0,
4666318,Rental unit in Zürich · ★5.0 · 1 bedroom · 1 bed · 1 bath,3477312,Gisela,Kreis 3,Alt-Wiedikon,47.36021,8.52106,Entire home/apt,220,7,39,2023-03-31,0.40,1,331,4,
4735779,Rental unit in Zürich · ★4.23 · 1 bedroom · 2 beds · 1 bath,8871936,Ben,Kreis 9,Albisrieden,47.37268,8.48462,Entire home/apt,167,4,23,2018-09-14,0.22,1,19,0,
4748384,Serviced apartment in Zurich · ★4.83 · 1 bedroom · 2 beds · 1.5 baths,24506494,EMA House,Kreis 6,Unterstrass,47.38417,8.54212,Entire home/apt,287,2,6,2023-05-28,0.07,19,322,4,
4796892,Home in Zürich · ★4.48 · 1 bedroom · 4 beds · 1 shared bath,21714165,Katie,Kreis 1,Rathaus,47.3714,8.54349,Private room,64,1,873,2023-06-24,8.42,3,37,130,
4797373,Rental unit in Zürich · ★4.67 · 2 bedrooms · 2 beds · 1 bath,21714165,Katie,Kreis 1,Rathaus,47.3714,8.54349,Entire home/apt,224,1,379,2023-06-27,3.65,3,42,85,
4850468,Rental unit in Zürich · 1 bedroom · 1 bed · 1 bath,720175,Patrick,Kreis 11,Seebach,47.42615,8.54844,Entire home/apt,174,5,1,2021-10-03,0.05,1,0,0,
4890227,Rental unit in Zürich · ★New · 1 bedroom · 1 bed · 1 bath,24328500,Lars,Kreis 3,Alt-Wiedikon,47.36938,8.51342,Entire home/apt,100,1,0,,,1,242,0,
4921250,Rental unit in Zürich · ★4.69 · 1 bedroom · 2 beds · 1 bath,25347589,Patricia,Kreis 6,Unterstrass,47.38637,8.54343,Entire home/apt,195,3,86,2022-09-19,0.86,1,0,3,
4997601,Rental unit in Zürich · 1 bedroom · 1 bed · 2 baths,25770172,Michael,Kreis 6,Unterstrass,47.39047,8.53631,Entire home/apt,380,3,1,2022-07-06,0.08,1,362,1,
5000434,Rental unit in Zürich · ★4.65 · 1 bedroom · 1 bed · 1 bath,7926514,Ruben,Kreis 11,Affoltern,47.41972,8.51008,Entire home/apt,60,10,34,2021-12-17,0.35,1,57,0,
5072076,Rental unit in Zürich · ★4.44 · Studio · 1 bed · 1 bath,13570663,Christian Robert,Kreis 1,Rathaus,47.37299,8.5454,Entire home/apt,109,14,228,2023-05-29,2.23,34,344,25,
5081849,Rental unit in Zürich · ★4.94 · 1 bedroom · 1 bath,3595908,Peter,Kreis 4,Langstrasse,47.3797,8.53599,Entire home/apt,149,3,18,2023-06-19,1.05,1,131,12,
5168505,Townhouse in Zürich · ★4.92 · 1 bedroom · 1 bed · 1.5 shared baths,22404783,Silvia,Kreis 7,Witikon,47.35687,8.59781,Private room,95,2,145,2023-06-11,1.44,2,252,43,
5208392,Serviced apartment in Zürich · ★4.43 · 1 bedroom · 1 bed · 1 bath,17484617,Marie,Kreis 6,Unterstrass,47.38368,8.53995,Entire home/apt,220,3,7,2022-05-01,0.07,22,187,0,
5210463,Serviced apartment in Zürich · ★4.33 · 1 bedroom · 1 bed · 1 bath,17484617,Marie,Kreis 8,Seefeld,47.35784,8.553,Entire home/apt,285,3,3,2019-09-08,0.05,22,198,0,
5267443,Rental unit in Zürich · ★4.95 · 3 bedrooms · 4 beds · 2 baths,3845079,Tilke,Kreis 4,Werd,47.37013,8.5263,Entire home/apt,170,10,21,2022-08-18,0.22,1,6,1,
5307932,Rental unit in Zürich · ★4.67 · 2 bedrooms · 3 beds · 1 bath,27493420,Valeria,Kreis 2,Enge,47.3623,8.5273,Entire home/apt,250,3,7,2022-10-22,0.07,1,0,2,
5343043,Rental unit in Zürich · 1 bedroom · 1 bed · 1 bath,12282711,Ella,Kreis 10,Höngg,47.40108,8.49317,Entire home/apt,104,5,1,2023-04-12,0.38,1,39,1,
5349018,Serviced apartment in Zürich · 1 bedroom · 1 bed · 1 bath,17484617,Marie,Kreis 8,Mühlebach,47.35578,8.55666,Entire home/apt,255,3,1,2016-10-19,0.01,22,147,0,
5349345,Serviced apartment in Zürich · 1 bedroom · 1 bed · 1 bath,17484617,Marie,Kreis 8,Mühlebach,47.35578,8.55666,Entire home/apt,255,3,2,2023-05-13,0.17,22,360,2,
5350564,Serviced apartment in Zürich · ★4.25 · Studio · 1 bed · 1 bath,17484617,Marie,Kreis 7,Hirslanden,47.3605,8.56529,Entire home/apt,155,3,16,2022-12-05,0.16,22,179,1,
5350881,Serviced apartment in Zürich · ★4.31 · Studio · 1 bed · 1 bath,17484617,Marie,Kreis 7,Hirslanden,47.3605,8.56529,Entire home/apt,155,3,16,2020-01-06,0.16,22,179,0,
5352022,Rental unit in Zürich · 2 bedrooms · 5 beds · 2.5 baths,12980091,Fabienne,Kreis 10,Höngg,47.40583,8.47929,Entire home/apt,68,7,1,2015-02-15,0.01,1,0,0,
5378507,Rental unit in Zürich · 1 bedroom · 1 bed · 1 shared bath,18128386,Alessandro,Kreis 11,Oerlikon,47.41072,8.54479,Private room,60,7,0,,,1,79,0,
5483148,Rental unit in Zürich · ★4.57 · 1 bedroom · 1 bed · 1 bath,13570663,Christian Robert,Kreis 1,Rathaus,47.37382,8.54228,Entire home/apt,110,4,375,2023-06-24,3.72,34,264,53,
5553853,Rental unit in Zürich · ★4.62 · Studio · 1 bed · 1 bath,23561865,Tania,Kreis 1,Rathaus,47.3718,8.54541,Entire home/apt,105,2,100,2020-12-08,1.01,55,26,0,
5609431,Rental unit in Zurich · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,5247348,Cathy,Kreis 3,Alt-Wiedikon,47.36911,8.5086,Private room,59,2,26,2023-06-21,0.26,1,0,16,
