"id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","MunicipalityBFSNr","FactsEnglish","OffencesTotal","Residents","BurglariesPerResident","avg.price"
16052643,"Cozy Room in the new trend quarters of Zurich","Kreis 5","Escher Wyss",47.38726,8.52221,"Private room",75,261,"TotalCrime",194,15331,0.012654099536886,1801
16185714,"1.5 room apartment in Zurich-City (HG-4)","Kreis 1","Hochschulen",47.37038,8.54719,"Entire home/apt",75,261,"TotalCrime",153,5411,0.0282757346146738,2317
16222729,"Spacious house between city and nature reserve","Kreis 11","Affoltern",47.42602,8.50827,"Entire home/apt",300,261,"TotalCrime",400,73223,0.00546276443194078,1540
16231000,"Europaallee Luxury Apartment @ CENTRAL STATION","Kreis 4","Langstrasse",47.37944,8.53346,"Entire home/apt",250,261,"TotalCrime",303,27765,0.010913019989195,1656
16238364,"Terrace-flat close to the alternative Zurich","Kreis 10","Wipkingen",47.39446,8.52372,"Entire home/apt",75,261,"TotalCrime",180,39719,0.00453183614894635,1614
16263695,"Nice room in a big modern flat","Kreis 9","Albisrieden",47.37989,8.48981,"Private room",57,261,"TotalCrime",350,55824,0.00626970478647177,1569
16263857,"Living & homeoffice at the oldtown","Kreis 1","Rathaus",47.37237,8.54397,"Entire home/apt",114,261,"TotalCrime",153,5411,0.0282757346146738,2317
16329215,"Furnished renovated apartment in Zurich City","Kreis 2","Wollishofen",47.35177,8.53044,"Entire home/apt",170,261,"TotalCrime",251,35494,0.00707161773820927,1803
16364923,"Apartment near Helvetiaplatz","Kreis 4","Langstrasse",47.3759,8.52021,"Entire home/apt",130,261,"TotalCrime",303,27765,0.010913019989195,1656
16375227,"3450 FR per Month.10 min to city+100m shop.centre","Kreis 9","Altstetten",47.38777,8.49119,"Entire home/apt",260,261,"TotalCrime",350,55824,0.00626970478647177,1569
16435353,"Elegant Zurich apartment with view","Kreis 10","Höngg",47.39812,8.50584,"Entire home/apt",91,261,"TotalCrime",180,39719,0.00453183614894635,1614
16445807,"Furnished room in a generously spaced flat","Kreis 11","Seebach",47.41782,8.53634,"Private room",150,261,"TotalCrime",400,73223,0.00546276443194078,1540
16595111,"Super central, super nice :)","Kreis 10","Wipkingen",47.39394,8.53179,"Entire home/apt",48,261,"TotalCrime",180,39719,0.00453183614894635,1614
