"id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price"
765721973203126144,"Wohnen am Burgwies Afrodite","Kreis 7","Hirslanden",47.35946,8.57061,"Entire home/apt",149
765983237693139712,"Private New Room","Kreis 4","Langstrasse",47.37775,8.52754,"Entire home/apt",386
766006354808405248,"Charming apartment-Zurich center","Kreis 7","Hottingen",47.367,8.55749,"Entire home/apt",126
766690388988191616,"Modern apartment in the center","Kreis 1","Rathaus",47.3685346235583,8.54513470083475,"Entire home/apt",189
767389190513900416,"Apartment am See","Kreis 8","Seefeld",47.36023,8.55159,"Private room",70
767466007284734208,"Privatzimmer mit Balkon","Kreis 9","Altstetten",47.38476,8.49617,"Private room",125
767470712752448256,"Privatzimmer","Kreis 9","Altstetten",47.38495,8.4979,"Private room",90
767482910956586496,"Privatzimmer","Kreis 9","Altstetten",47.38346,8.49824,"Private room",80
767580539512090496,"Stanza  spaziosa a Zurigo","Kreis 11","Affoltern",47.4181,8.50728,"Private room",90
768043328369148544,"Cozy Apartment in the heart of Zurich","Kreis 6","Unterstrass",47.38144,8.54467,"Entire home/apt",189
768131218086639104,"Charming apartment in great location in Zurich","Kreis 7","Hottingen",47.36756,8.55322,"Entire home/apt",243
768558118239170304,"Wunderschönes Studio m. Seeblick","Kreis 1","Rathaus",47.376,8.54462,"Entire home/apt",256
768875960042236544,"2-rooms flat in city center","Kreis 4","Hard",47.37967,8.51805,"Entire home/apt",86
769453428298340736,"Gemütlich eingerichtete Wohnung in Zürich","Kreis 6","Oberstrass",47.39229,8.54501,"Entire home/apt",151
770006779660182656,"Wiedikon 1.5 room w/ storage, 1 min to market","Kreis 3","Sihlfeld",47.37553,8.51423,"Entire home/apt",105
770717539092183040,"Lovely studio centrally located","Kreis 2","Wollishofen",47.34472,8.53457,"Entire home/apt",108
770735016402528896,"Spacious and bright 5 bedrooms apartment","Kreis 10","Höngg",47.41228,8.47955,"Entire home/apt",301
770825818503993600,"3.5 rooms bright residential apartment","Kreis 10","Höngg",47.41113,8.4795,"Entire home/apt",166
770900319065845888,"Ruhiges Zimmer in Stadtmitte","Kreis 3","Alt-Wiedikon",47.36635,8.51546,"Private room",60
770915187791627904,"Perfect flat in the center","Kreis 7","Hottingen",47.36871,8.5601,"Entire home/apt",145
770963155924489088,"3BDR Duplex + Sky roof - Zurich","Kreis 4","Hard",47.3840999,8.5081704,"Entire home/apt",684
771546707632391040,"Central Apartment in the heart of Zurich","Kreis 3","Alt-Wiedikon",47.37002,8.51433,"Entire home/apt",126
771555434865887488,"Central Apartment in the heart of Zurich","Kreis 3","Sihlfeld",47.37108,8.51441,"Entire home/apt",216
771563434768073344,"Cozy Apartment in the heart of Zurich","Kreis 3","Sihlfeld",47.37166,8.51586,"Entire home/apt",216
771576002291284992,"Lovely 1 bedroom apartment","Kreis 10","Höngg",47.412,8.4809,"Entire home/apt",100
771643573416840320,"Explore the city by foot from this central place!","Kreis 3","Sihlfeld",47.37108,8.5156,"Entire home/apt",202
771643615601051264,"Everything You Need. All Right Here in the heart","Kreis 3","Sihlfeld",47.37087,8.51425,"Entire home/apt",162
771643807312169472,"Everything You Need. All Right Here in the heart o","Kreis 3","Alt-Wiedikon",47.36938,8.51504,"Entire home/apt",162
772170935912647552,"Single apparemment very centre","Kreis 5","Gewerbeschule",47.38573,8.52908,"Entire home/apt",79
772233947902798208,"Eigenes Zimmer am Zürichsee","Kreis 2","Enge",47.3520031,8.5274489,"Private room",50
772321988629779840,"Simple and cozy private room.","Kreis 9","Altstetten",47.38497,8.49949,"Private room",62
773084809901187584,"Black Friday apartment Zurich","Kreis 11","Oerlikon",47.40752,8.55153,"Entire home/apt",154
773553063696928896,"Big cosy room in charming flat","Kreis 12","Schwamendingen-Mitte",47.40345,8.56058,"Private room",49
775076314921565952,"2.5 rooms in the center, newly renovated & cosy!","Kreis 3","Alt-Wiedikon",47.3596,8.51906,"Entire home/apt",105
775086842108445440,"Work&Live in Zurich Top District","Kreis 6","Unterstrass",47.3851545,8.5374873,"Entire home/apt",131
775126155765917184,"Light room in a great location","Kreis 3","Sihlfeld",47.37727,8.50858,"Private room",79
775595039260483456,"Longstay-Apartment","Kreis 2","Wollishofen",47.33542,8.52139,"Entire home/apt",73
775953697144073472,"Casa para navidad y año nuevo","Kreis 10","Wipkingen",47.39513,8.53261,"Entire home/apt",100
775975146997106176,"Amazing lakeside 120sqm loft w/ private terrasse","Kreis 8","Seefeld",47.35328,8.55848,"Entire home/apt",252
776006091258455040,"Attic apartment","Kreis 4","Langstrasse",47.37966,8.5271,"Entire home/apt",131
